gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CCDC149	280003	621	34	3763564	1017758	0	1	0	0	18	3	12439805	7.149380e-01	1
SENP6	428787	364	24	8060332	1954757	0	6	1	0	50	23	46858707	7.149869e-01	1
C17orf53	930750	175	41	4403798	1375822	0	2	0	0	41	22	48836816	7.150851e-01	1
ZNF124	374414	704	-12	2092923	481635	0	2	0	0	50	51	54009284	7.152411e-01	1
CSF2RA	NaN	NaN	NaN	3693508	903917	0	2	0	0	50	88	109261089	7.152877e-01	1
ZNF653	1204183	265	32	4230604	1257116	0	3	1	0	50	28	47755813	7.152896e-01	1
GNB5	540700	195	21	2864512	749210	0	1	0	0	50	28	51658516	7.155012e-01	1
NR2F6	865138	212	38	2683534	898079	0	1	1	0	50	30	51560243	7.155177e-01	1
SEC14L3	657636	288	48	2898567	747264	0	1	0	0	50	24	53713492	7.155992e-01	1
WDR78	334231	692	-14	6181469	1618099	0	3	0	0	18	13	14843115	7.156493e-01	1
ZNF189	112947	898	-22	4466070	1047921	0	3	0	0	50	44	58975476	7.156707e-01	1
LRRC52	262572	574	-22	2126005	641207	0	1	0	0	50	51	67151595	7.156714e-01	1
CDC42BPA	290976	481	-2	12338613	3132087	0	3	1	0	25	10	31039673	7.156789e-01	1
IL1RAPL2	17392	NaN	-4	4885433	1247386	0	5	0	0	28	30	26268081	7.157132e-01	1
ZBTB3	2405109	248	44	3782051	1264900	0	3	3	0	43	31	44353232	7.157160e-01	1
MAP3K15	222229	NaN	38	9299934	2533692	0	3	1	0	50	26	56031178	7.157206e-01	1
SOCS5	630448	252	34	3715887	998298	0	1	0	0	50	21	49294126	7.157486e-01	1
PRDM2	68342	892	25	12028226	3316957	0	10	3	0	50	33	61116076	7.157727e-01	1
ART3	507519	322	41	2858674	684992	0	1	0	0	50	29	51570946	7.158203e-01	1
EFEMP1	376977	264	-15	3531990	910728	0	2	1	0	50	44	53557812	7.158636e-01	1
FIGNL2	570716	438	22	4147899	1585017	0	1	0	0	50	19	52913686	7.160082e-01	1
TAOK3	635780	823	26	6532722	1561665	0	3	0	0	13	5	18596949	7.160248e-01	1
CLP1	923511	354	15	2855755	898079	0	1	0	0	50	31	51761654	7.160265e-01	1
FNTB	501431	387	39	3106789	857213	0	2	0	0	4	0	3207008	7.162442e-01	1
HLCS	425948	486	61	5022626	1437121	0	4	1	0	50	22	38134789	7.163573e-01	1
USP7	401069	159	12	8141091	1868160	0	5	0	0	21	8	24342514	7.164249e-01	1
AMPH	167080	639	7	4951597	1382633	0	2	0	0	39	22	41625913	7.166323e-01	1
FAIM2	1291800	231	45	2244711	659694	0	1	0	0	50	47	73017812	7.167814e-01	1
BUB1	NaN	NaN	NaN	7834596	1955730	0	5	2	0	30	27	44756054	7.168984e-01	1
HNRNPL	1989663	219	30	4139142	1173438	0	2	1	0	50	41	59701334	7.169228e-01	1
TEAD1	339042	432	-1	3086356	781319	0	1	0	0	50	32	58605736	7.169266e-01	1
HSH2D	761374	298	42	2410121	739480	0	1	0	0	50	34	51387049	7.169295e-01	1
ZNF592	344313	214	42	8665538	2531746	0	7	2	0	50	31	52466106	7.169506e-01	1
UMPS	307759	254	36	3286794	983703	0	3	1	0	39	19	35562177	7.169886e-01	1
DEPDC4	184616	650	3	2098761	537096	0	1	0	0	50	44	55706196	7.173128e-01	1
SLC39A12	94785	360	-9	4863054	1336902	0	3	1	0	50	42	63890099	7.175557e-01	1
DDO	248863	469	20	2528827	763805	0	1	0	0	50	41	62463681	7.176170e-01	1
DKK2	48475	1014	-18	1813672	498176	0	1	0	0	50	52	55843389	7.176404e-01	1
NEK7	114791	402	-13	2209683	548772	0	5	1	0	1	3	1443932	7.178058e-01	1
TAS2R30	371136	676	4	2174655	627585	0	1	1	0	50	41	55552462	7.179441e-01	1
MFF	251488	144	18	2399418	697641	0	2	0	0	50	32	57644412	7.180244e-01	1
RNF113B	470049	470	20	2225251	620774	0	1	0	0	50	38	47230393	7.183456e-01	1
PDLIM7	1120311	347	41	3513503	987595	0	1	0	0	50	38	54481189	7.184715e-01	1
PAAF1	544325	159	44	2797375	778400	0	1	0	0	50	28	50041390	7.186265e-01	1
WDR38	1125524	207	41	2208710	648991	0	1	0	0	50	31	51432780	7.186281e-01	1
HAX1	1653296	236	29	1986866	535150	0	2	1	0	8	4	7603022	7.186737e-01	1
FBXL14	333350	216	28	2774996	911701	0	1	0	0	50	34	70416010	7.187566e-01	1
PPP1R3A	12173	914	-21	7808325	2066652	0	8	6	0	20	19	17360266	7.188597e-01	1
TBC1D10A	622382	211	50	3531017	1025542	0	2	0	0	29	17	29780611	7.189228e-01	1
SUPT16H	713944	380	38	7618590	1850646	0	6	0	0	18	17	28538090	7.189722e-01	1
KRT10	836683	269	-10	4002922	1219169	0	2	1	0	50	38	45198769	7.190295e-01	1
APAF1	488214	461	11	9015818	2225251	0	4	0	0	19	12	26299217	7.190567e-01	1
MSLN	1187310	273	39	4288984	1423499	0	2	0	0	16	11	19986393	7.190962e-01	1
DNAJC18	832127	177	48	2576504	654829	0	1	0	0	50	26	56765793	7.194462e-01	1
TMEM189-UBE2V1	571130	136	58	2605694	724885	0	1	0	0	50	31	48767733	7.194746e-01	1
C2CD4D	NaN	NaN	NaN	2213575	892241	0	1	1	0	30	26	43692565	7.195183e-01	1
SVOPL	256342	480	9	3448312	1032353	0	3	1	0	50	24	55836578	7.195257e-01	1
ATXN7L2	1056159	272	37	4923380	1530529	0	2	0	0	7	1	6393583	7.195376e-01	1
SF3B3	905402	131	40	8512777	2445149	0	2	1	0	34	18	44371719	7.196226e-01	1
SCG2	276568	364	-7	4329850	1093652	0	2	1	0	50	38	58199022	7.197291e-01	1
ABAT	402778	358	-10	3619560	942837	0	2	0	0	50	30	57145263	7.197409e-01	1
MMD	147492	526	-59	1720264	442715	0	1	0	0	50	50	50750707	7.197536e-01	1
TBXAS1	485631	679	36	4106060	1145221	0	2	0	0	26	14	29881803	7.198695e-01	1
PCSK4	2352825	221	38	5170522	1619072	0	3	0	0	50	26	50097824	7.199670e-01	1
C10orf62	NaN	NaN	NaN	1538313	423255	0	1	0	0	50	88	108780427	7.199696e-01	1
RPS9	717623	458	-6	1345659	414498	0	1	1	0	13	13	11971792	7.199787e-01	1
RAB3GAP2	651142	476	4	9982007	2622235	0	6	3	0	50	39	51314074	7.200428e-01	1
LRFN1	1793696	252	31	4941867	1830213	0	4	2	0	50	42	62498709	7.201037e-01	1
SETD7	400132	191	15	2608613	686938	0	1	1	0	50	25	55283914	7.201533e-01	1
GABRR2	415409	541	41	3482367	916566	0	1	0	0	30	13	33910996	7.201946e-01	1
DUSP26	91655	610	11	1438094	453418	0	2	1	0	2	1	1414742	7.202410e-01	1
CD7	2856070	193	24	1583071	562394	0	2	2	0	4	3	3270253	7.202769e-01	1
ELOVL7	188782	596	4	2056922	494284	0	1	0	0	50	34	48849465	7.202813e-01	1
MOGAT3	1022626	258	39	2368282	696668	0	1	1	0	50	38	53857496	7.203441e-01	1
PRDM1	162338	278	44	5723186	1612261	0	2	1	0	50	22	54010257	7.203487e-01	1
EZH1	1740597	177	36	5436151	1335929	0	3	0	0	50	31	59993234	7.203687e-01	1
CACNG1	300354	491	-30	1556800	436877	0	1	0	0	50	48	61067426	7.204900e-01	1
NCAPD3	270385	601	14	10663107	2860620	0	7	2	0	18	18	18431539	7.205105e-01	1
APBB1	424837	471	17	4922407	1455608	0	4	1	0	50	38	55590409	7.207440e-01	1
CYB561D1	1056159	272	37	2043300	540015	0	1	0	0	50	34	49133581	7.207479e-01	1
ZNF211	532349	849	-37	4079789	1016785	0	3	0	0	50	44	46540536	7.208968e-01	1
CDH16	942986	142	34	5721240	1745562	0	3	2	0	37	25	47453210	7.209537e-01	1
SNRPA	1127178	201	27	1982974	553637	0	1	0	0	50	42	53712519	7.210157e-01	1
SLITRK5	20779	1253	-27	6452936	1956703	0	6	1	0	50	55	55649762	7.213742e-01	1
NUP35	349831	524	11	2310875	648991	0	1	0	0	50	36	51763600	7.214036e-01	1
OR52E6	203856	922	-5	2122113	621747	0	1	1	0	50	26	46481183	7.214067e-01	1
XK	115395	NaN	11	3035760	890295	0	2	0	0	50	46	55835605	7.214558e-01	1
NDEL1	761259	427	18	2552179	684992	0	1	1	0	25	11	23475571	7.215370e-01	1
EYA3	827177	316	28	4137196	1087814	0	1	0	0	50	23	57455650	7.216066e-01	1
ADAL	823006	415	50	2639749	670397	0	1	0	0	44	35	57563653	7.216565e-01	1
ATP13A3	324325	269	27	8803704	2303091	0	7	2	0	19	25	25953802	7.217152e-01	1
ST13	894425	269	44	2715643	652883	0	1	0	0	50	40	64691851	7.217495e-01	1
VASH1	308800	471	39	2524935	750183	0	1	0	0	50	21	45388504	7.218087e-01	1
SEMA6D	140187	583	-58	7649726	2085139	0	3	0	0	5	1	5886650	7.218587e-01	1
ANO9	2206786	344	58	5572371	1547070	0	5	0	0	1	0	2504502	7.219945e-01	1
MARCH6	627256	164	17	6451963	1817564	0	2	0	0	15	4	15446375	7.221539e-01	1
TEAD2	2183690	309	30	3132087	919485	0	1	1	0	50	51	59044559	7.221979e-01	1
DHRS13	1834230	220	37	2502556	854294	0	1	0	0	50	44	64974021	7.222043e-01	1
DCAF12L2	11596	NaN	-29	3054247	1009001	0	3	2	0	50	82	63129213	7.222056e-01	1
ACBD5	383472	555	36	3817079	929215	0	2	0	0	4	1	5210415	7.222207e-01	1
ZNF205	1626425	234	44	3817079	1124788	0	5	3	0	23	17	22278781	7.222390e-01	1
PLIN1	880974	190	35	3533936	1139383	0	1	0	0	16	6	17837036	7.223486e-01	1
KCND1	834590	NaN	41	4348337	1384579	0	3	0	0	50	42	59345216	7.223490e-01	1
IQCD	417427	252	35	2415959	654829	0	1	1	0	50	35	52586758	7.223510e-01	1
NUCB2	522189	387	19	3163223	660667	0	2	0	0	50	41	60294864	7.223987e-01	1
MOCOS	393505	591	40	6186334	1773779	0	3	1	0	24	15	33166651	7.224925e-01	1
FBXO32	535498	203	19	2561909	648991	0	1	0	0	50	25	53953823	7.226025e-01	1
ZNF880	526380	960	-32	4096330	1006082	0	3	1	0	50	50	59349108	7.226424e-01	1
CISH	583785	302	50	1907080	609098	0	1	0	0	50	34	47857978	7.228267e-01	1
MTHFR	530804	196	39	4597425	1284360	0	3	1	0	50	31	47624458	7.230774e-01	1
TKTL1	2436137	NaN	14	4185846	1182195	0	3	1	0	50	57	78301202	7.230791e-01	1
NR2F2	94682	983	-22	2954028	852348	0	2	0	0	50	71	79283932	7.231651e-01	1
HSPA12B	860065	241	43	4678184	1477987	0	4	0	0	7	3	6887867	7.232532e-01	1
PLBD2	442841	251	37	4088546	1212358	0	2	1	0	45	25	44771622	7.232804e-01	1
CD9	2261351	277	32	1668695	418390	0	1	1	0	50	49	66244759	7.233341e-01	1
PREX1	752875	360	47	11788868	3208954	0	9	2	0	50	28	64145025	7.235195e-01	1
TMEM151A	2133752	236	53	3058139	1060570	0	2	2	0	50	56	66912237	7.235767e-01	1
FUT1	1635420	190	44	2434446	782292	0	1	0	0	50	32	57593816	7.236233e-01	1
MFSD8	230666	331	9	3671129	1013866	0	1	0	0	50	23	52308480	7.237466e-01	1
ZBTB45	2673870	276	11	3328633	1172465	0	2	1	0	48	48	64965264	7.239363e-01	1
SLC26A6	1386275	212	37	5353446	1646316	0	3	0	0	50	61	74222386	7.239518e-01	1
KRTAP27-1	4608	1035	-69	1443932	389200	0	1	0	0	50	46	38724427	7.239522e-01	1
FST	202521	488	-5	2468501	634396	0	1	1	0	48	30	45866247	7.239933e-01	1
KCTD13	NaN	NaN	NaN	2233035	715155	0	1	1	0	30	26	43515479	7.240410e-01	1
PIGA	201763	NaN	43	3336417	969108	0	1	0	0	50	35	65758259	7.241035e-01	1
SFTPB	1158965	170	43	2776942	801752	0	1	1	0	50	31	53741709	7.242246e-01	1
PABPC3	436184	650	30	4276335	1263927	0	2	0	0	50	50	71167166	7.242256e-01	1
USP1	239359	394	5	5580155	1396255	0	4	0	0	4	2	3900757	7.242694e-01	1
ITGA3	1197823	210	20	7681835	2283631	0	3	0	0	7	2	6855758	7.244737e-01	1
ITGB1BP2	728362	NaN	26	2518124	651910	0	1	0	0	50	46	78581426	7.245673e-01	1
OR56B4	465433	806	-1	2133789	662613	0	1	0	0	50	35	54759467	7.246207e-01	1
HEMK1	583785	302	50	2387742	691803	0	1	1	0	50	34	47857978	7.246258e-01	1
ZNF7	1454261	384	20	4846513	1222088	0	2	1	0	50	57	63785015	7.246610e-01	1
FLT4	855370	515	13	9587942	2718562	0	10	3	0	50	55	52249127	7.247142e-01	1
SGMS2	144491	683	6	2556071	695695	0	1	0	0	50	47	72944837	7.247425e-01	1
SACM1L	319452	385	45	4321093	1049867	0	2	2	0	13	7	14764302	7.247887e-01	1
ENDOG	1768145	201	34	1963514	675262	0	1	0	0	50	44	56309456	7.248720e-01	1
MKLN1	258333	283	35	5474098	1277549	0	2	0	0	50	27	51693544	7.248742e-01	1
ATP6V1C1	470948	438	47	2813916	680127	0	1	0	0	50	39	66762395	7.249223e-01	1
INHBA	42008	671	-27	2936514	814401	0	2	0	0	50	51	50412103	7.249800e-01	1
TUBAL3	711034	519	-1	3062031	893214	0	3	0	0	50	57	65659986	7.250972e-01	1
BAZ1A	615028	184	24	11097065	2841160	0	4	1	0	2	1	6465585	7.251122e-01	1
PCDH11Y	0	0	0	9226959	2732184	0	5	0	0	11	5	12266611	7.251672e-01	1
CNTROB	1794630	337	33	6427638	1897350	0	5	3	0	50	42	53750466	7.253384e-01	1
WNT7B	498719	270	28	2417905	682073	0	1	0	0	50	36	53581164	7.254278e-01	1
PRPSAP2	792064	224	1	2645587	711263	0	1	0	0	50	36	56413567	7.254985e-01	1
ARL13A	414180	NaN	45	2155195	571151	0	1	0	0	50	33	44021439	7.255702e-01	1
TAP1	1253457	401	26	5401123	1800050	0	3	0	0	2	0	2942352	7.256348e-01	1
MAPK14	892075	407	36	3035760	653856	0	1	0	0	50	27	49632730	7.256488e-01	1
MEIS1	21299	641	-10	2859647	704452	0	3	0	0	50	59	64952615	7.256745e-01	1
TXNRD1	1237281	168	29	4633426	1286306	0	4	0	0	50	42	58700117	7.257287e-01	1
FRRS1	276548	540	-5	4491368	1168573	0	2	0	0	46	31	52379509	7.258014e-01	1
OR5K3	416592	885	-4	2208710	608125	0	1	1	0	50	43	55136018	7.258351e-01	1
HAUS5	1162794	390	27	4386284	1381660	0	2	0	0	31	20	32865994	7.258517e-01	1
SCFD2	170883	852	18	4667481	1424472	0	2	2	0	11	4	11052307	7.258806e-01	1
ETFB	368509	610	-9	2453906	815374	0	1	0	0	50	21	39142817	7.259154e-01	1
SCYL2	184701	578	3	6608616	1733886	0	3	0	0	18	10	20592572	7.259326e-01	1
WDR92	190719	594	5	2550233	672343	0	1	0	0	50	31	49120932	7.259349e-01	1
CYP4A11	492091	578	5	3666264	1021650	0	4	4	0	4	6	4796890	7.261256e-01	1
DNAJC15	56984	249	51	1081003	299684	0	1	1	0	5	8	6573588	7.262368e-01	1
CHUK	1070291	198	25	5432259	1339821	0	3	0	0	50	47	53684302	7.262733e-01	1
TCF3	2396187	262	31	5068357	1563611	0	3	2	0	50	59	72491419	7.263492e-01	1
NOSIP	2080142	210	41	2110437	630504	0	2	0	0	50	39	59676036	7.263703e-01	1
FAM114A1	370538	352	63	4000003	1090733	0	1	0	0	18	14	22367324	7.264422e-01	1
B3GALNT1	340975	583	-20	2318659	600341	0	1	1	0	50	47	62748770	7.264675e-01	1
TMPRSS12	594068	250	43	2416932	691803	0	1	1	0	31	23	35544663	7.264802e-01	1
LMOD3	264082	443	20	3957191	978838	0	1	0	0	9	2	10746785	7.265094e-01	1
HTR3D	1423268	375	38	3535882	1032353	0	2	1	0	50	43	56042854	7.265554e-01	1
GNB4	405715	600	20	2447095	644126	0	3	2	0	14	10	9737784	7.265752e-01	1
JMJD6	827288	206	22	2940406	769643	0	1	0	0	33	15	28987616	7.265917e-01	1
C16orf72	401555	253	7	1904161	547799	0	1	1	0	13	9	13872061	7.267140e-01	1
CCNB1	420987	273	30	3032841	861105	0	2	1	0	30	26	38523989	7.267684e-01	1
PSG6	282702	238	-37	3106789	895160	0	3	1	0	22	29	28703500	7.268153e-01	1
PDE8B	276128	451	26	6342987	1666749	0	2	1	0	50	22	58319674	7.268716e-01	1
TOX2	639806	396	14	3763564	1154951	0	3	2	0	50	28	54778927	7.269953e-01	1
RAB33A	339869	NaN	58	1637559	458283	0	1	1	0	50	40	47339369	7.270430e-01	1
GPR22	500763	753	12	2961812	850402	0	1	0	0	31	16	30533713	7.270592e-01	1
NMBR	152447	513	-28	2666020	787157	0	2	1	0	50	54	70189301	7.270747e-01	1
WLS	331085	524	-20	4172224	1064462	0	2	1	0	50	81	75114627	7.271835e-01	1
RRAGB	59904	NaN	23	2723427	677208	0	2	0	0	50	44	52458322	7.271938e-01	1
WDFY1	307044	251	22	2994894	738507	0	1	0	0	50	26	64517684	7.272797e-01	1
DLGAP4	874457	360	46	7057169	2108491	0	5	2	0	13	19	28186837	7.274494e-01	1
CKAP4	168486	445	23	4058383	1239602	0	2	1	0	50	22	48331829	7.275086e-01	1
SNRNP48	825677	209	14	2487961	588665	0	1	0	0	50	43	59576790	7.276631e-01	1
WDR24	1207790	194	33	5439070	1586963	0	4	0	0	22	10	25543196	7.277052e-01	1
UNK	1806586	178	31	6159090	1795185	0	5	2	0	50	39	54944337	7.277881e-01	1
CLSTN3	1872466	224	33	6672834	1906107	0	5	1	0	45	47	58365405	7.278086e-01	1
STAM2	394536	218	24	3786916	971054	0	2	0	0	50	23	55271265	7.278153e-01	1
CLOCK	235221	384	22	6097791	1552908	0	3	1	0	50	30	62007344	7.278817e-01	1
TIGD2	147602	529	24	3648750	957432	0	2	2	0	26	9	24611062	7.279770e-01	1
SPINT1	1036414	172	51	3711995	1045975	0	3	1	0	50	47	55549543	7.279918e-01	1
ZNF843	NaN	NaN	NaN	2263198	792995	0	1	1	0	30	26	43593319	7.282197e-01	1
SPSB1	980939	281	32	1837024	574070	0	1	1	0	50	58	61253269	7.282911e-01	1
CYB5RL	465615	313	26	2225251	612017	0	1	0	0	50	33	50238909	7.283764e-01	1
INPP1	682366	401	33	2775969	785211	0	1	0	0	20	12	22814904	7.283851e-01	1
OR4E2	658946	624	20	2105572	638288	0	1	2	0	12	6	10364396	7.283927e-01	1
NUDCD3	1535714	363	52	2538557	689857	0	2	0	0	8	8	10297259	7.285341e-01	1
CCDC87	1343990	194	62	5679401	1769887	0	5	3	0	50	40	54668978	7.285815e-01	1
APOOL	83775	NaN	-12	1928486	526393	0	1	0	0	50	56	64192702	7.286110e-01	1
KRT28	836683	269	-10	3237171	922404	0	2	1	0	50	38	45198769	7.287091e-01	1
TRMT2B	418391	NaN	37	3557288	1005109	0	2	0	0	16	13	20071044	7.287242e-01	1
SYN3	259538	520	-72	4061302	1166627	0	3	1	0	50	74	75640047	7.288775e-01	1
KLHL29	NaN	NaN	NaN	5522748	1710534	0	2	0	0	50	88	110067706	7.289373e-01	1
MAGEC3	17504	NaN	-11	5350527	1444905	0	3	1	0	23	54	45951871	7.290052e-01	1
HERC4	337983	246	12	7564102	1981028	0	5	0	0	13	10	15654597	7.290760e-01	1
RRN3	564013	463	22	4703482	1210412	0	2	0	0	18	8	18120179	7.292795e-01	1
CAMK2D	166680	632	21	3915352	950621	0	3	0	0	50	40	63085428	7.292829e-01	1
WDR27	197890	593	-17	6054006	1739724	0	2	0	0	4	0	6051087	7.293947e-01	1
ZNF431	173248	1093	-42	4132331	967162	0	4	0	0	22	26	24130400	7.294396e-01	1
WDR66	814234	162	38	8283149	2198980	0	4	2	0	27	8	20875715	7.295055e-01	1
DISC1	236101	622	-3	7985411	2055949	0	4	2	0	50	38	53088826	7.296529e-01	1
ANO1	763592	286	35	7082467	1852592	0	5	2	0	50	34	65254245	7.296557e-01	1
ALOX5AP	381672	451	76	1153978	317198	0	1	1	0	11	11	10375099	7.296590e-01	1
SRC	685195	571	60	3745077	1085868	0	1	0	0	46	19	44228688	7.296904e-01	1
IRX2	18983	986	-29	3146682	1033326	0	2	2	0	50	82	62509412	7.297035e-01	1
SYNE1	79159	579	3	62955046	16050608	0	56	18	0	20	22	33598663	7.298204e-01	1
PMPCA	1413299	233	44	3675994	1081976	0	4	0	0	50	53	64403843	7.299210e-01	1
GARNL3	673881	270	47	7223552	1971298	0	3	1	0	31	19	39960137	7.301265e-01	1
OR1A2	506514	628	0	2102653	612017	0	2	0	0	50	50	62731256	7.301289e-01	1
GGN	1467279	253	0	4141088	1606423	0	2	2	0	50	35	54629085	7.302516e-01	1
GGA2	525761	628	36	4347364	1222088	0	5	0	0	10	11	11689622	7.303045e-01	1
EIF2S1	484235	291	32	2270982	575043	0	1	0	0	50	37	48571187	7.303963e-01	1
NOXA1	1591716	213	30	3337390	1064462	0	1	1	0	50	27	55489217	7.304535e-01	1
OR4A5	68	1280	-38	2148384	630504	0	2	0	0	50	99	74364444	7.304658e-01	1
AGBL1	5624	980	-56	7569940	2042327	0	7	2	0	50	38	46166904	7.305541e-01	1
ATP13A1	768855	418	-10	8280230	2569693	0	6	0	0	8	7	11602052	7.305724e-01	1
WRN	283981	708	2	10393586	2552179	0	4	2	0	50	35	59698415	7.306692e-01	1
CLCN1	379715	379	29	6907327	2021894	0	3	1	0	50	30	60502113	7.306967e-01	1
PSMA1	366243	381	-3	2090004	540015	0	1	0	0	50	34	57336944	7.307566e-01	1
TTC5	371637	528	-29	3102897	869862	0	2	0	0	50	43	55233318	7.307936e-01	1
CYP2U1	144587	735	6	3740212	1084895	0	4	0	0	39	56	54059880	7.309035e-01	1
NTN1	128482	632	-7	4188765	1179276	0	2	0	0	50	43	72599422	7.309553e-01	1
ANKMY2	291955	612	-13	3184629	791049	0	1	1	0	50	24	47885222	7.309819e-01	1
UTP14C	385945	461	41	5278525	1438094	0	2	0	0	50	35	61465383	7.310014e-01	1
TIA1	667934	164	33	2835322	693749	0	1	1	0	50	35	58220428	7.312523e-01	1
RSPRY1	717872	149	48	4129412	1081003	0	2	0	0	50	22	48851411	7.312918e-01	1
SOS2	778308	166	46	9465344	2470447	0	3	0	0	26	8	24625657	7.314542e-01	1
LRIT1	216124	810	-10	4140115	1365119	0	3	1	0	50	54	58689414	7.318087e-01	1
RGS4	315405	691	-14	2198007	513744	0	1	0	0	50	38	48893250	7.318386e-01	1
ADIPOR2	259057	403	29	2736076	734615	0	1	0	0	50	47	73318469	7.318627e-01	1
BCL11A	151287	732	7	6017032	1642424	0	7	4	0	19	24	25713471	7.320666e-01	1
SPI1	1106152	245	46	1930432	498176	0	1	1	0	45	52	59705226	7.321365e-01	1
GPHB5	147817	637	-12	613963	203357	0	1	1	0	4	8	3687670	7.322535e-01	1
ST18	155128	793	-15	7446369	1964487	0	7	3	0	18	26	25468275	7.323026e-01	1
PSTPIP1	327336	436	33	3027003	788130	0	2	1	0	50	35	56808605	7.325092e-01	1
FAM153A	1267336	553	18	2373147	572124	0	1	0	0	50	45	56429135	7.325176e-01	1
KIF2C	574317	191	43	5236686	1354416	0	2	0	0	50	37	55817118	7.328097e-01	1
ENTPD5	443041	158	51	3083437	825104	0	1	1	0	50	23	52400915	7.328436e-01	1
ZNF354B	204252	845	6	4353202	1061543	0	1	1	0	50	35	52724924	7.328556e-01	1
MCAT	624112	241	48	2660182	804671	0	1	1	0	50	40	61598684	7.329716e-01	1
SPTB	584151	204	38	16475809	4517639	0	12	3	0	30	14	27954290	7.330057e-01	1
SYDE1	703673	419	1	4825107	1707615	0	5	0	0	10	11	10958899	7.330211e-01	1
NCAPG2	267997	565	-31	8200444	2132816	0	4	0	0	14	15	19393836	7.330541e-01	1
SMARCD2	1446139	380	27	3696427	1102409	0	2	0	0	8	2	6446125	7.330742e-01	1
DNAJA2	498873	362	13	2958893	751156	0	1	0	0	50	35	62554170	7.332598e-01	1
CBX6	1317460	358	54	2735103	934080	0	2	0	0	4	5	5881785	7.332737e-01	1
GLCE	367968	218	35	4292876	1153978	0	2	2	0	16	10	16206288	7.332917e-01	1
SHBG	2069567	213	34	2763320	859159	0	1	2	0	29	16	28000994	7.333796e-01	1
SCIN	119569	510	-1	5108250	1336902	0	3	0	0	50	33	59334513	7.333993e-01	1
KDM1B	477756	397	1	4236442	1125761	0	1	2	0	50	35	54793522	7.334057e-01	1
ECE2	1453600	241	47	7441504	2150330	0	3	0	0	5	1	5531505	7.334269e-01	1
ERMP1	314189	313	25	6291418	1802969	0	2	0	0	3	3	12459265	7.335519e-01	1
ENTPD1	370896	631	30	3875459	981757	0	2	1	0	8	12	15603028	7.336828e-01	1
SLC5A9	27457	480	-10	4873757	1486744	0	3	0	0	33	37	52747303	7.338644e-01	1
CDRT15	96214	975	-61	1263927	408660	0	1	0	0	50	41	41066438	7.338723e-01	1
PRDM13	225399	799	2	4652886	1582098	0	1	2	0	50	41	60302648	7.339201e-01	1
SIK2	426569	296	19	6434449	1846754	0	6	4	0	6	5	6230119	7.339277e-01	1
CSF1	785919	216	30	3823890	1129653	0	1	0	0	50	40	60101237	7.339611e-01	1
OR2T34	116628	850	-20	2145465	648018	0	1	0	0	50	43	53398240	7.340144e-01	1
CASP5	45234	626	-20	3214792	819266	0	2	0	0	50	53	58497733	7.340174e-01	1
SEC24D	248929	623	24	7290689	2012164	0	3	0	0	3	0	4960354	7.340442e-01	1
NTSR1	1286411	208	27	2799321	904890	0	4	3	0	10	10	10464615	7.341469e-01	1
TTF2	331822	566	12	8183903	2263198	0	4	1	0	46	31	50756545	7.342305e-01	1
OR4D9	430021	507	-1	2096815	655802	0	3	3	0	6	6	5214307	7.342812e-01	1
SLC6A18	657890	541	24	4335688	1300901	0	2	1	0	12	16	23455138	7.343140e-01	1
FNTA	304258	559	12	2756509	670397	0	1	0	0	25	14	24871826	7.343494e-01	1
RBMXL3	NaN	NaN	NaN	7206038	2152276	0	2	0	0	31	25	49896413	7.344289e-01	1
OR7G3	311030	471	-63	2070544	667478	0	1	0	0	50	62	74983272	7.344443e-01	1
SLC22A8	2447828	398	48	3741185	1142302	0	3	3	0	50	35	45027521	7.344962e-01	1
PRSS41	NaN	NaN	NaN	2154222	683046	0	1	0	0	50	88	109040218	7.345858e-01	1
DTL	452008	399	15	5153008	1411823	0	1	1	0	50	24	47208987	7.346649e-01	1
KIF4B	516166	461	38	8516669	2298226	0	6	1	0	50	46	70699153	7.347664e-01	1
ZNF414	726124	214	1	2663101	877646	0	1	2	0	50	40	61372948	7.348103e-01	1
BARHL1	1522970	581	37	2171736	723912	0	2	0	0	13	20	18591111	7.348656e-01	1
BANK1	80568	482	-7	5680374	1389444	0	3	1	0	50	42	60051614	7.348876e-01	1
IQSEC3	241073	592	27	8157632	2584288	0	7	4	0	26	23	31337411	7.349117e-01	1
SLC24A2	493733	635	-12	4616885	1291171	0	3	0	0	50	31	41102439	7.349696e-01	1
OLAH	255576	571	28	2286550	588665	0	1	1	0	25	18	26541494	7.350330e-01	1
MSH6	488225	587	32	9424478	2610559	0	7	3	0	50	47	53221154	7.350563e-01	1
NPBWR1	99395	697	-19	2117248	760886	0	1	0	0	50	47	69730045	7.351537e-01	1
MED12L	98951	632	9	15175881	4112871	0	8	5	0	50	35	63774312	7.351936e-01	1
KCNG4	582429	364	12	3482367	1088787	0	3	1	0	50	42	64758015	7.355656e-01	1
TOR1AIP1	470940	364	5	4070059	1149113	0	1	0	0	47	23	56394107	7.356097e-01	1
CLPTM1L	612621	541	30	3864756	1047921	0	7	0	0	1	0	1450743	7.356411e-01	1
MMP13	374035	482	-10	3387013	857213	0	2	0	0	50	57	68346439	7.356706e-01	1
